Feature | ZeroRatio | Unique | Min | 5% | 50% | 95% | 99% | Max | Skew
--------------------------------------------------------------------------------
dst_port | 0.00 | 65535 | 1.0 | 443.0 | 10641.5 | 59294.7 | 64185.0 | 65535.0 | 0.71
protocol | 1.00 | 1 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.00
duration | 0.50 | 139384 | 0.0 | 0.0 | 0.0 | 5.4 | 117.7 | 28816.0 | 190.53
packets_count | 0.00 | 1687 | 1.0 | 1.0 | 2.0 | 18.0 | 45.0 | 4005660.0 | 125.03
fwd_packets_count | 0.09 | 1266 | 0.0 | 0.0 | 1.0 | 10.0 | 22.0 | 2143525.0 | 230.42
bwd_packets_count | 0.52 | 1398 | 0.0 | 0.0 | 0.0 | 8.0 | 23.0 | 3643637.0 | 141.92
payload_bytes_max | 0.81 | 487 | 0.0 | 0.0 | 0.0 | 846.0 | 1460.0 | 1460.0 | 2.32
total_header_bytes | 0.00 | 2438 | 20.0 | 20.0 | 40.0 | 384.0 | 964.0 | 128181280.0 | 133.44
max_header_bytes | 0.00 | 11 | 20.0 | 20.0 | 24.0 | 40.0 | 40.0 | 60.0 | 0.57
mode_header_bytes | 0.00 | 7 | 20.0 | 20.0 | 20.0 | 40.0 | 40.0 | 44.0 | 1.29
variance_header_bytes | 0.68 | 2466 | 0.0 | 0.0 | 0.0 | 20.0 | 36.0 | 195.7 | 5.46
fwd_total_header_bytes | 0.09 | 1678 | 0.0 | 0.0 | 40.0 | 212.0 | 460.0 | 62289448.0 | 231.15
fwd_max_header_bytes | 0.09 | 12 | 0.0 | 0.0 | 24.0 | 40.0 | 40.0 | 60.0 | -0.66
fwd_median_header_bytes | 0.09 | 15 | 0.0 | 0.0 | 20.0 | 40.0 | 40.0 | 56.0 | -0.17
bwd_std_header_bytes | 0.78 | 1746 | 0.0 | 0.0 | 0.0 | 4.2 | 4.8 | 12.8 | 1.73
bwd_mode_header_bytes | 0.52 | 7 | 0.0 | 0.0 | 0.0 | 20.0 | 24.0 | 44.0 | 0.14
fwd_init_win_bytes | 0.12 | 1628 | 0.0 | 0.0 | 8192.0 | 65535.0 | 65535.0 | 65535.0 | 0.57
bwd_init_win_bytes | 0.73 | 1004 | 0.0 | 0.0 | 0.0 | 65535.0 | 65535.0 | 65535.0 | 1.30
bytes_rate | 0.81 | 121060 | 0.0 | 0.0 | 0.0 | 1564.5 | 16194.2 | 6073352192.0 | 322.13
fwd_bytes_rate | 0.81 | 120800 | 0.0 | 0.0 | 0.0 | 827.6 | 2495.8 | 6073352192.0 | 335.42
bwd_bytes_rate | 0.81 | 116456 | 0.0 | 0.0 | 0.0 | 736.5 | 4571.0 | 1518338048.0 | 622.74
packets_rate | 0.50 | 142662 | 0.0 | 0.0 | 0.1 | 46776.6 | 103138.6 | 5033164.8 | 40.51
bwd_packets_rate | 0.58 | 134678 | 0.0 | 0.0 | 0.0 | 17848.1 | 74235.5 | 2097152.0 | 28.02
fwd_packets_rate | 0.54 | 136548 | 0.0 | 0.0 | 0.0 | 21732.1 | 36792.1 | 4194304.0 | 110.68
down_up_rate | 0.62 | 3432 | 0.0 | 0.0 | 0.0 | 1.1 | 2.0 | 38.0 | 4.66
fin_flag_counts | 0.89 | 14 | 0.0 | 0.0 | 0.0 | 1.0 | 2.0 | 25.0 | 3.96
syn_flag_counts | 0.20 | 47 | 0.0 | 0.0 | 1.0 | 3.0 | 5.0 | 57.0 | 8.05
ack_flag_counts | 0.50 | 1679 | 0.0 | 0.0 | 1.0 | 17.0 | 43.0 | 4005659.0 | 125.03
rst_flag_counts | 0.47 | 2 | 0.0 | 0.0 | 1.0 | 1.0 | 1.0 | 1.0 | -0.14
fwd_ece_flag_counts | 0.88 | 16 | 0.0 | 0.0 | 0.0 | 1.0 | 1.0 | 18.0 | 5.01
fwd_syn_flag_counts | 0.21 | 33 | 0.0 | 0.0 | 1.0 | 3.0 | 3.0 | 40.0 | 4.17
fwd_rst_flag_counts | 0.81 | 2 | 0.0 | 0.0 | 0.0 | 1.0 | 1.0 | 1.0 | 1.60
bwd_ece_flag_counts | 0.92 | 9 | 0.0 | 0.0 | 0.0 | 1.0 | 1.0 | 10.0 | 3.93
